DataSpaceName,Status,ActivationId,ActivationName,entityName,Fieldname
,,85R4X000000L1XXUA0,PF_CA0017103_5ANOS_IA_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L1y9UAC,Iti_Atualizacao_CadastroContagem,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L1YfUAK,PJ_OPTOUT_PCM,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
,,85R4X000000L1YkUAK,AA_ELEG_MIN_PCMPJ_PRO,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
,,85R4X000000L2AFUA0,PF_CA0017791_IU_PS_1ANO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2AKUA0,PF_CA0017791_IA_PS_3ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2ALUA0,PF_CA0017791_IU_PS_3ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2AoUAK,PF_CA0017824_IP_PS_1ANO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2ApUAK,PF_CA0017824_IP_PS_3ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2AtUAK,PF_CA0017791_IA_PS_5ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2AyUAK,PF_CA0017791_IU_PS_5ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2B8UAK,PF_CA0017791_IA_SMS_1ANO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2BDUA0,PF_CA0017791_IU_SMS_1ANO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2BIUA0,PF_CA0017791_IA_SMS_3ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2BNUA0,PF_CA0017791_IU_SMS_3ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2bpUAC,PJ | DIAGRAMA ELEGIBILIDADE BASICA CONTA CORRENTE,TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
,,85R4X000000L2bQUAS,PF_CA0017559_SM_IA_SF58993,ssot__Individual__dlm,dat_nasc_clie__c
,,,,,ssot__Id__c
,,85R4X000000L2BwUAK,PF_CA0017824_IP_PS_5ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2BXUA0,PF_CA0017791_IA_SMS_5ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2BYUA0,PF_CA0017791_IU_SMS_5ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2C6UAK,PF_CA0017824_IP_SMS_1ANO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2CQUA0,PF_CA0017824_IP_SMS_3ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2CVUA0,PF_CA0017824_IP_SMS_5ANOS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2eyUAC,PFOPTINEMAIL,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2f3UAC,PFOPTINSMS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2f8UAC,PFOPTINPUSH,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2NyUAK,PF_CA0017814_IA_EM_G3,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2OCUA0,PF_CA0017814_IA_EM_G4,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2pmUAC,PF_CA0018914_IAIU_PS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2prUAC,PF_CA0018914_IAIU_SMS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2q1UAC,NCC_CA0018990,Cadastro_Cartao_de_Credito__dlm,Chave_Produto__c
,,,,,id__c
,,,,,num_crto__c
,,,,informa_o_Cadastral_CHPRAS__dlm,Data_Abertura_Conta__c
,,,,,Dias_Abertura_Conta__c
,,,,,Nmero_CHPRAS__c
,,,,,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000L2QIUA0,PF_CA0017427_IAIU_EM_SMS_PSH,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2tPUAS,NCC_CA0018342,Cadastro_Cartao_de_Credito__dlm,Chave_Produto__c
,,,,,id__c
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,Nome_Produto_Parceiro__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000L2WBUA0,PF_CA0018533_TRADICIONAL_IAIU_SMS,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2WQUA0,PF_CA0018533_TRADICIONAL_IAIU_PUSH,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2WVUA0,PF_CA0018533_TRADICIONAL_IAIU_EMAIL,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2zIUAS,PF_CA0019315_IAIU_PS,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2zJUAS,PF_CA0019315_IAIU_SMS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2zmUAC,PF_CA0019313_IAIU_PS,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L2zrUAC,PF_CA0019313_IAIU_SMS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L2zwUAC,PF_CA0019313_IAIU_EM,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L3ABUA0,PF_CA0019373_IU_PUSH_SMS_EM,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L3AGUA0,PF_CA0019373_IA_PUSH_SMS_EM,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000L3B9UAK,PJ_CA_19306,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L3BsUAK,Ativacao_ChavePix_Consulta,ssot__Individual__dlm,ssot__Id__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CONT__dlm,ind_pssu_chav_pix_frte__c
,,,,,qtd_chav_pix_crid__c
,,85R4X000000L3bvUAC,RENEG_COLCHAO_GC_EXCLUSIVO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L3dNUAS,NCC_CA0019733,Cadastro_Cartao_de_Credito__dlm,Chave_Produto__c
,,,,,id__c
